id,account_id,counterparty_id,date,amount,currency,flow_direction,description,gl_code,data_source,record_type
tx_oecd_HKG_NTR_BA_2014_304,acc_hkg_NTR_BA,gov_hkg,2014-01-01,23632.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_BA,OECD_CTP,tax_revenue
tx_oecd_HKG_TOTALNONTAX_2014_305,acc_hkg_TOTALNONTAX,gov_hkg,2014-01-01,124534.0,HKD,inbound,Tax revenue: Non-tax revenue,TOTALNONTAX,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_B_2014_306,acc_hkg_NTR_B,gov_hkg,2014-01-01,23847.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_B,OECD_CTP,tax_revenue
tx_oecd_HKG_TOTALNONTAX_2015_307,acc_hkg_TOTALNONTAX,gov_hkg,2015-01-01,105200.0,HKD,inbound,Tax revenue: Non-tax revenue,TOTALNONTAX,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_B_2015_308,acc_hkg_NTR_B,gov_hkg,2015-01-01,20020.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_B,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_D_2015_309,acc_hkg_NTR_D,gov_hkg,2015-01-01,1409.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_D,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_C_2015_310,acc_hkg_NTR_C,gov_hkg,2015-01-01,72401.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_C,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_BB_2015_311,acc_hkg_NTR_BB,gov_hkg,2015-01-01,183.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_BB,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_E_2015_312,acc_hkg_NTR_E,gov_hkg,2015-01-01,11370.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_E,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_BA_2015_313,acc_hkg_NTR_BA,gov_hkg,2015-01-01,19837.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_BA,OECD_CTP,tax_revenue
tx_oecd_HKG_TOTALNONTAX_2016_314,acc_hkg_TOTALNONTAX,gov_hkg,2016-01-01,225018.0,HKD,inbound,Tax revenue: Non-tax revenue,TOTALNONTAX,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_B_2016_315,acc_hkg_NTR_B,gov_hkg,2016-01-01,50927.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_B,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_BA_2016_316,acc_hkg_NTR_BA,gov_hkg,2016-01-01,30202.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_BA,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_D_2016_317,acc_hkg_NTR_D,gov_hkg,2016-01-01,1496.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_D,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_C_2016_318,acc_hkg_NTR_C,gov_hkg,2016-01-01,139555.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_C,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_BB_2016_319,acc_hkg_NTR_BB,gov_hkg,2016-01-01,20725.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_BB,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_E_2016_320,acc_hkg_NTR_E,gov_hkg,2016-01-01,33040.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_E,OECD_CTP,tax_revenue
tx_oecd_HKG_TOTALNONTAX_2017_321,acc_hkg_TOTALNONTAX,gov_hkg,2017-01-01,238025.0,HKD,inbound,Tax revenue: Non-tax revenue,TOTALNONTAX,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_B_2017_322,acc_hkg_NTR_B,gov_hkg,2017-01-01,49089.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_B,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_D_2017_323,acc_hkg_NTR_D,gov_hkg,2017-01-01,2327.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_D,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_C_2017_324,acc_hkg_NTR_C,gov_hkg,2017-01-01,176927.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_C,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_BB_2017_325,acc_hkg_NTR_BB,gov_hkg,2017-01-01,21443.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_BB,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_E_2017_326,acc_hkg_NTR_E,gov_hkg,2017-01-01,9682.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_E,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_BA_2017_327,acc_hkg_NTR_BA,gov_hkg,2017-01-01,27646.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_BA,OECD_CTP,tax_revenue
tx_oecd_HKG_TOTALNONTAX_2018_328,acc_hkg_TOTALNONTAX,gov_hkg,2018-01-01,209233.0,HKD,inbound,Tax revenue: Non-tax revenue,TOTALNONTAX,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_B_2018_329,acc_hkg_NTR_B,gov_hkg,2018-01-01,58754.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_B,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_BA_2018_330,acc_hkg_NTR_BA,gov_hkg,2018-01-01,18412.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_BA,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_D_2018_331,acc_hkg_NTR_D,gov_hkg,2018-01-01,2837.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_D,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_C_2018_332,acc_hkg_NTR_C,gov_hkg,2018-01-01,129500.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_C,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_BB_2018_333,acc_hkg_NTR_BB,gov_hkg,2018-01-01,40342.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_BB,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_E_2018_334,acc_hkg_NTR_E,gov_hkg,2018-01-01,18142.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_E,OECD_CTP,tax_revenue
tx_oecd_HKG_TOTALNONTAX_2019_335,acc_hkg_TOTALNONTAX,gov_hkg,2019-01-01,237573.0,HKD,inbound,Tax revenue: Non-tax revenue,TOTALNONTAX,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_B_2019_336,acc_hkg_NTR_B,gov_hkg,2019-01-01,73252.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_B,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_D_2019_337,acc_hkg_NTR_D,gov_hkg,2019-01-01,1801.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_D,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_C_2019_338,acc_hkg_NTR_C,gov_hkg,2019-01-01,152924.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_C,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_BB_2019_339,acc_hkg_NTR_BB,gov_hkg,2019-01-01,48399.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_BB,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_E_2019_340,acc_hkg_NTR_E,gov_hkg,2019-01-01,9596.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_E,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_BA_2019_341,acc_hkg_NTR_BA,gov_hkg,2019-01-01,24853.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_BA,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_C_2020_342,acc_hkg_NTR_C,gov_hkg,2020-01-01,98310.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_C,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_D_2020_343,acc_hkg_NTR_D,gov_hkg,2020-01-01,4772.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_D,OECD_CTP,tax_revenue
tx_oecd_HKG_TOTALNONTAX_2020_344,acc_hkg_TOTALNONTAX,gov_hkg,2020-01-01,188001.0,HKD,inbound,Tax revenue: Non-tax revenue,TOTALNONTAX,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_B_2020_345,acc_hkg_NTR_B,gov_hkg,2020-01-01,76889.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_B,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_E_2020_346,acc_hkg_NTR_E,gov_hkg,2020-01-01,8030.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_E,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_BB_2020_347,acc_hkg_NTR_BB,gov_hkg,2020-01-01,52426.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_BB,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_BA_2020_348,acc_hkg_NTR_BA,gov_hkg,2020-01-01,24463.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_BA,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_BA_2021_349,acc_hkg_NTR_BA,gov_hkg,2021-01-01,22876.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_BA,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_C_2021_350,acc_hkg_NTR_C,gov_hkg,2021-01-01,152911.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_C,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_D_2021_351,acc_hkg_NTR_D,gov_hkg,2021-01-01,2594.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_D,OECD_CTP,tax_revenue
